Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;05 Canarias;Diciembre;Hombres;894
Total Nacional;05 Canarias;Diciembre;Mujeres;753
Total Nacional;06 Cantabria;Total;Total;6.051
Total Nacional;06 Cantabria;Total;Hombres;3.079
Total Nacional;06 Cantabria;Total;Mujeres;2.972
Total Nacional;06 Cantabria;Enero;Total;576
Total Nacional;06 Cantabria;Enero;Hombres;309
Total Nacional;06 Cantabria;Enero;Mujeres;267
Total Nacional;06 Cantabria;Febrero;Total;486
Total Nacional;06 Cantabria;Febrero;Hombres;232
Total Nacional;06 Cantabria;Febrero;Mujeres;254
Total Nacional;06 Cantabria;Marzo;Total;509
Total Nacional;06 Cantabria;Marzo;Hombres;273
Total Nacional;06 Cantabria;Marzo;Mujeres;236
Total Nacional;06 Cantabria;Abril;Total;502
Total Nacional;06 Cantabria;Abril;Hombres;244
Total Nacional;06 Cantabria;Abril;Mujeres;258
Total Nacional;06 Cantabria;Mayo;Total;480
Total Nacional;06 Cantabria;Mayo;Hombres;237
Total Nacional;06 Cantabria;Mayo;Mujeres;243
Total Nacional;06 Cantabria;Junio;Total;446
Total Nacional;06 Cantabria;Junio;Hombres;214
Total Nacional;06 Cantabria;Junio;Mujeres;232
Total Nacional;06 Cantabria;Julio;Total;484
Total Nacional;06 Cantabria;Julio;Hombres;256
Total Nacional;06 Cantabria;Julio;Mujeres;228
Total Nacional;06 Cantabria;Agosto;Total;448
Total Nacional;06 Cantabria;Agosto;Hombres;227
Total Nacional;06 Cantabria;Agosto;Mujeres;221
Total Nacional;06 Cantabria;Septiembre;Total;510
Total Nacional;06 Cantabria;Septiembre;Hombres;276
Total Nacional;06 Cantabria;Septiembre;Mujeres;234
Total Nacional;06 Cantabria;Octubre;Total;504
Total Nacional;06 Cantabria;Octubre;Hombres;256
Total Nacional;06 Cantabria;Octubre;Mujeres;248
Total Nacional;06 Cantabria;Noviembre;Total;518
Total Nacional;06 Cantabria;Noviembre;Hombres;240
Total Nacional;06 Cantabria;Noviembre;Mujeres;278
Total Nacional;06 Cantabria;Diciembre;Total;588
Total Nacional;06 Cantabria;Diciembre;Hombres;315
Total Nacional;06 Cantabria;Diciembre;Mujeres;273
Total Nacional;07 Castilla y León;Total;Total;29.289
Total Nacional;07 Castilla y León;Total;Hombres;15.170
Total Nacional;07 Castilla y León;Total;Mujeres;14.119
Total Nacional;07 Castilla y León;Enero;Total;3.174
Total Nacional;07 Castilla y León;Enero;Hombres;1.671
Total Nacional;07 Castilla y León;Enero;Mujeres;1.503
Total Nacional;07 Castilla y León;Febrero;Total;2.781
Total Nacional;07 Castilla y León;Febrero;Hombres;1.494
Total Nacional;07 Castilla y León;Febrero;Mujeres;1.287
Total Nacional;07 Castilla y León;Marzo;Total;2.359
Total Nacional;07 Castilla y León;Marzo;Hombres;1.264
Total Nacional;07 Castilla y León;Marzo;Mujeres;1.095
Total Nacional;07 Castilla y León;Abril;Total;2.286
Total Nacional;07 Castilla y León;Abril;Hombres;1.181
Total Nacional;07 Castilla y León;Abril;Mujeres;1.105
Total Nacional;07 Castilla y León;Mayo;Total;2.196
Total Nacional;07 Castilla y León;Mayo;Hombres;1.119
Total Nacional;07 Castilla y León;Mayo;Mujeres;1.077
Total Nacional;07 Castilla y León;Junio;Total;2.022
Total Nacional;07 Castilla y León;Junio;Hombres;1.021
Total Nacional;07 Castilla y León;Junio;Mujeres;1.001
Total Nacional;07 Castilla y León;Julio;Total;2.341
Total Nacional;07 Castilla y León;Julio;Hombres;1.191
Total Nacional;07 Castilla y León;Julio;Mujeres;1.150
Total Nacional;07 Castilla y León;Agosto;Total;2.524
Total Nacional;07 Castilla y León;Agosto;Hombres;1.292
Total Nacional;07 Castilla y León;Agosto;Mujeres;1.232
Total Nacional;07 Castilla y León;Septiembre;Total;2.119
Total Nacional;07 Castilla y León;Septiembre;Hombres;1.107
Total Nacional;07 Castilla y León;Septiembre;Mujeres;1.012
Total Nacional;07 Castilla y León;Octubre;Total;2.375
Total Nacional;07 Castilla y León;Octubre;Hombres;1.221
Total Nacional;07 Castilla y León;Octubre;Mujeres;1.154
Total Nacional;07 Castilla y León;Noviembre;Total;2.418
Total Nacional;07 Castilla y León;Noviembre;Hombres;1.249
Total Nacional;07 Castilla y León;Noviembre;Mujeres;1.169
Total Nacional;07 Castilla y León;Diciembre;Total;2.694
Total Nacional;07 Castilla y León;Diciembre;Hombres;1.360
Total Nacional;07 Castilla y León;Diciembre;Mujeres;1.334
Total Nacional;08 Castilla - La Mancha;Total;Total;20.418
Total Nacional;08 Castilla - La Mancha;Total;Hombres;10.639
Total Nacional;08 Castilla - La Mancha;Total;Mujeres;9.779
Total Nacional;08 Castilla - La Mancha;Enero;Total;2.534
Total Nacional;08 Castilla - La Mancha;Enero;Hombres;1.296
Total Nacional;08 Castilla - La Mancha;Enero;Mujeres;1.238
Total Nacional;08 Castilla - La Mancha;Febrero;Total;1.870
Total Nacional;08 Castilla - La Mancha;Febrero;Hombres;1.003
Total Nacional;08 Castilla - La Mancha;Febrero;Mujeres;867
Total Nacional;08 Castilla - La Mancha;Marzo;Total;1.551
Total Nacional;08 Castilla - La Mancha;Marzo;Hombres;807
Total Nacional;08 Castilla - La Mancha;Marzo;Mujeres;744
